iter	Passed	Remaining
757	1077	343
758	1078	342
759	1079	340
760	1081	339
761	1082	338
762	1083	336
763	1085	335
764	1086	333
765	1088	332
766	1089	330
767	1090	329
768	1091	327
769	1092	326
770	1093	324
771	1094	323
772	1095	321
773	1096	320
774	1097	318
775	1098	317
776	1100	315
777	1101	314
778	1103	312
779	1104	311
780	1106	310
781	1107	308
782	1108	307
783	1110	305
784	1111	304
785	1112	302
786	1114	301
787	1115	300
788	1116	298
789	1117	297
790	1118	295
791	1119	294
792	1120	292
793	1121	291
794	1122	289
795	1124	288
796	1125	286
797	1126	285
798	1127	283
799	1128	282
800	1129	280
801	1130	278
802	1130	277
803	1132	275
804	1133	274
805	1134	273
806	1135	271
807	1136	270
808	1137	268
809	1138	267
810	1139	265
811	1140	264
812	1141	262
813	1142	261
814	1143	259
815	1144	258
816	1145	256
817	1147	255
818	1148	253
819	1149	252
820	1150	250
821	1151	249
822	1152	247
823	1153	246
824	1154	244
825	1155	243
826	1156	241
827	1157	240
828	1158	239
829	1159	237
830	1160	236
831	1162	234
832	1163	233
833	1164	231
834	1165	230
835	1166	228
836	1167	227
837	1168	225
838	1169	224
839	1170	222
840	1171	221
841	1172	220
842	1173	218
843	1174	217
844	1176	215
845	1177	214
846	1178	212
847	1179	211
848	1180	209
849	1181	208
850	1182	207
851	1183	205
852	1184	204
853	1185	202
854	1186	201
855	1187	199
856	1188	198
857	1189	196
858	1190	195
859	1191	193
860	1192	192
861	1193	191
862	1195	189
863	1196	188
864	1197	186
865	1198	185
866	1199	183
867	1200	182
868	1201	181
869	1202	179
870	1203	178
871	1204	176
872	1205	175
873	1206	173
874	1207	172
875	1208	171
876	1209	169
877	1210	168
878	1211	166
879	1212	165
880	1213	163
881	1214	162
882	1215	161
883	1216	159
884	1217	158
885	1218	156
886	1219	155
887	1220	153
888	1221	152
889	1222	151
890	1224	149
891	1225	148
892	1226	146
893	1227	145
894	1228	144
895	1229	142
896	1230	141
897	1231	139
898	1232	138
899	1233	137
900	1234	135
901	1235	134
902	1236	132
903	1238	131
904	1239	130
905	1241	128
906	1242	127
907	1243	125
908	1244	124
909	1245	123
910	1246	121
911	1247	120
912	1248	118
913	1249	117
914	1250	116
915	1251	114
916	1253	113
917	1254	112
918	1255	110
919	1256	109
920	1257	107
921	1258	106
922	1259	105
923	1260	103
924	1261	102
925	1262	100
926	1263	99
927	1264	98
928	1265	96
929	1266	95
930	1267	93
931	1269	92
932	1270	91
933	1271	89
934	1272	88
935	1273	87
936	1274	85
937	1275	84
938	1276	82
939	1277	81
940	1278	80
941	1279	78
942	1280	77
943	1281	76
944	1283	74
945	1284	73
946	1285	71
947	1286	70
948	1287	69
949	1288	67
950	1289	66
951	1290	65
952	1291	63
953	1292	62
954	1293	60
955	1294	59
956	1295	58
957	1296	56
958	1297	55
959	1299	54
960	1300	52
961	1301	51
962	1302	50
963	1303	48
964	1304	47
965	1305	45
966	1306	44
967	1307	43
968	1308	41
969	1309	40
970	1310	39
971	1311	37
972	1312	36
973	1313	35
974	1314	33
975	1315	32
976	1316	31
977	1317	29
978	1318	28
979	1319	26
980	1320	25
981	1321	24
982	1323	22
983	1324	21
984	1325	20
985	1326	18
986	1327	17
987	1328	16
988	1330	14
989	1331	13
990	1332	12
991	1333	10
992	1334	9
993	1335	8
994	1336	6
995	1337	5
996	1338	4
997	1339	2
998	1340	1
999	1341	0
